gene,included,exclusion_reason
CHFR,True,
CHID1,True,
CHKB,True,
CHM,True,
CHML,True,
CHMP1A,True,
CHMP1B,True,
CHMP2A,True,
CHMP2B,True,
CHMP4A,True,
CHMP4B,True,
CHMP4C,True,
CHMP5,True,
CHMP6,True,
CHMP7,True,
CHORDC1,True,
CHP1,True,
CHPF,True,
CHPF2,True,
CHRAC1,True,
CHST14,True,
CHSY1,True,
CHTF18,True,
CHTOP,True,
CHUK,True,
CHURC1,True,
CIAO1,True,
CIAO2A,True,
CIAO2B,True,
CIAO3,True,
CIAPIN1,True,
CIB1,True,
CIC,True,
CINP,True,
CIP2A,True,
CIR1,True,
CIRBP,True,
CISD1,True,
CISD2,True,
CISD3,True,
CIT,True,
CIZ1,True,
CKAP2,True,
CKAP4,True,
CKAP5,True,
CKB,True,
CKMT1A,True,
CKMT2,True,
CKS1B,True,
CKS2,True,
CLASP1,True,
CLASP2,True,
CLASRP,True,
CLCC1,True,
CLCN3,True,
CLCN5,True,
CLCN7,True,
CLDN3,True,
CLDN7,True,
CLEC11A,True,
CLEC16A,True,
CLGN,True,
CLIC1,True,
CLIC3,True,
CLIC4,True,
CLINT1,True,
CLIP1,True,
CLIP2,True,
CLK1,True,
CLK2,True,
CLK3,True,
CLMN,True,
CLN5,True,
CLNS1A,True,
CLP1,True,
CLPB,True,
CLPP,True,
CLPTM1,True,
CLPTM1L,True,
CLPX,True,
CLSTN1,True,
CLTA,True,
CLTB,True,
CLTC,True,
CLU,True,
CLUH,True,
CLYBL,True,
CMAS,True,
CMBL,True,
CMC1,True,
CMC2,True,
CMC4,True,
CMIP,True,
CMPK1,True,
CMPK2,True,
CMSS1,True,
CMTM6,True,
CMTR1,True,
CMTR2,True,
CNBP,True,
CNDP2,True,
CNN1,True,
CNN2,True,
CNN3,True,
CNNM2,True,
CNNM3,True,
CNNM4,True,
CNOT1,True,
CNOT10,True,
CNOT11,True,
CNOT2,True,
CNOT3,True,
CNOT4,True,
CNOT6L,True,
CNOT7,True,
CNOT8,True,
CNOT9,True,
CNP,True,
CNPY2,True,
CNPY3,True,
CNPY4,True,
CNRIP1,True,
CNST,True,
CNTN1,True,
CNTRL,True,
CNTROB,True,
COA1,True,
COA3,True,
COA5,True,
COA6,True,
COA7,True,
COASY,True,
COBL,True,
COBLL1,True,
COG1,True,
COG2,True,
COG3,True,
COG4,True,
COG5,True,
COG6,True,
COG7,True,
COG8,True,
COIL,True,
COL12A1,True,
COL17A1,True,
COL18A1,True,
COL1A1,True,
COL1A2,True,
COL2A1,True,
COL3A1,True,
COL4A1,True,
COL4A2,True,
COL4A5,True,
COL5A1,True,
COL5A2,True,
COL6A1,True,
COL6A2,True,
COL6A3,True,
COL7A1,True,
COLGALT1,True,
COLGALT2,True,
COMMD1,True,
COMMD10,True,
COMMD2,True,
COMMD3-BMI1,True,
COMMD4,True,
COMMD5,True,
COMMD6,True,
COMMD7,True,
COMMD8,True,
COMMD9,True,
COMT,True,
COMTD1,True,
COP1,True,
COPA,True,
COPB1,True,
COPB2,True,
COPE,True,
COPG1,True,
COPG2,True,
COPRS,True,
COPS2,True,
COPS3,True,
COPS4,True,
COPS5,True,
COPS6,True,
COPS7A,True,
COPS7B,True,
